product,country,market_year,metric,value
大豆,Serbia and Montenegro,2001/02,imports,0
大豆,Singapore,2001/02,imports,0.021
大豆,Switzerland,2001/02,imports,0.06
大豆,Syria,2001/02,imports,0.134
大豆,Trinidad and Tobago,2001/02,imports,0.094
大豆,Uganda,2001/02,imports,0
大豆,United Arab Emirates,2001/02,imports,0.001
大豆,Uzbekistan,2001/02,imports,0.065
大豆,Zambia,2001/02,imports,0
大豆,Zimbabwe,2001/02,imports,0
大豆,阿根廷,2001/02,production,30
大豆,埃及,2001/02,production,0.015
大豆,巴基斯坦,2001/02,production,0.001
大豆,巴拉圭,2001/02,production,3.547
大豆,巴西,2001/02,production,43.5
大豆,玻利维亚,2001/02,production,1.243
大豆,俄罗斯,2001/02,production,0.324
大豆,菲律宾,2001/02,production,0.001
大豆,哥伦比亚,2001/02,production,0.062
大豆,韩国,2001/02,production,0.118
大豆,加拿大,2001/02,production,1.635
大豆,马来西亚,2001/02,production,0
大豆,美国,2001/02,production,78.672
大豆,孟加拉国,2001/02,production,0
大豆,秘鲁,2001/02,production,0.002
大豆,摩洛哥,2001/02,production,0.001
大豆,墨西哥,2001/02,production,0.066
大豆,南非,2001/02,production,0.202
大豆,欧盟,2001/02,production,1.467
大豆,日本,2001/02,production,0.271
大豆,泰国,2001/02,production,0.27
大豆,土耳其,2001/02,production,0.045
大豆,委内瑞拉,2001/02,production,0.01
大豆,乌克兰,2001/02,production,0.074
大豆,乌拉圭,2001/02,production,0.083
大豆,伊朗,2001/02,production,0.13
大豆,印度,2001/02,production,5.4
大豆,印度尼西亚,2001/02,production,0.87
大豆,越南,2001/02,production,0.174
大豆,智利,2001/02,production,0
大豆,中国,2001/02,production,15.41
大豆,中国台湾,2001/02,production,0
大豆,Australia,2001/02,production,0.063
大豆,Barbados,2001/02,production,0
大豆,Bosnia and Herzegovina,2001/02,production,0.004
大豆,Burma,2001/02,production,0.109
大豆,Costa Rica,2001/02,production,0
大豆,Cuba,2001/02,production,0
大豆,Ecuador,2001/02,production,0.067
大豆,Guatemala,2001/02,production,0.032
大豆,Israel,2001/02,production,0
大豆,"Korea, North",2001/02,production,0.088
大豆,Nicaragua,2001/02,production,0.004
大豆,Nigeria,2001/02,production,0.436
大豆,Norway,2001/02,production,0
大豆,Panama,2001/02,production,0
大豆,Serbia and Montenegro,2001/02,production,0.24
大豆,Singapore,2001/02,production,0
大豆,Switzerland,2001/02,production,0.001
大豆,Syria,2001/02,production,0.004
大豆,Trinidad and Tobago,2001/02,production,0
大豆,Uganda,2001/02,production,0.144
大豆,United Arab Emirates,2001/02,production,0
大豆,Uzbekistan,2001/02,production,0
大豆,Zambia,2001/02,production,0.028
大豆,Zimbabwe,2001/02,production,0.084
大豆,阿根廷,2002/03,consumption,24.793
大豆,埃及,2002/03,consumption,0.288
大豆,巴基斯坦,2002/03,consumption,0.088
大豆,巴拉圭,2002/03,consumption,1.471
大豆,巴西,2002/03,consumption,29.268
大豆,玻利维亚,2002/03,consumption,1.669
大豆,俄罗斯,2002/03,consumption,0.402
大豆,菲律宾,2002/03,consumption,0.259
大豆,哥伦比亚,2002/03,consumption,0.592
大豆,韩国,2002/03,consumption,1.631
大豆,加拿大,2002/03,consumption,2.296
大豆,马来西亚,2002/03,consumption,0.562
大豆,美国,2002/03,consumption,47.524
大豆,孟加拉国,2002/03,consumption,0.001
大豆,秘鲁,2002/03,consumption,0.108
大豆,摩洛哥,2002/03,consumption,0.33
大豆,墨西哥,2002/03,consumption,4.375
大豆,南非,2002/03,consumption,0.172
大豆,欧盟,2002/03,consumption,18.319
大豆,日本,2002/03,consumption,5.717
大豆,泰国,2002/03,consumption,2.018
大豆,土耳其,2002/03,consumption,0.78
大豆,委内瑞拉,2002/03,consumption,0.011
大豆,乌克兰,2002/03,consumption,0.118
大豆,乌拉圭,2002/03,consumption,0.017
大豆,伊朗,2002/03,consumption,0.703
大豆,印度,2002/03,consumption,4.04
大豆,印度尼西亚,2002/03,consumption,2.031
大豆,越南,2002/03,consumption,0.235
大豆,智利,2002/03,consumption,0.115
大豆,中国,2002/03,consumption,35.29
大豆,中国台湾,2002/03,consumption,2.361
大豆,Australia,2002/03,consumption,0.065
大豆,Barbados,2002/03,consumption,0.023
大豆,Bosnia and Herzegovina,2002/03,consumption,0.005
大豆,Burma,2002/03,consumption,0.119
大豆,Costa Rica,2002/03,consumption,0.219
大豆,Cuba,2002/03,consumption,0.107
大豆,Ecuador,2002/03,consumption,0.03
大豆,Guatemala,2002/03,consumption,0.042
大豆,Israel,2002/03,consumption,0.567
大豆,"Korea, North",2002/03,consumption,0.143
大豆,Nicaragua,2002/03,consumption,0.006
大豆,Nigeria,2002/03,consumption,0.47
大豆,Norway,2002/03,consumption,0.47
大豆,Panama,2002/03,consumption,0.013
大豆,Serbia and Montenegro,2002/03,consumption,0.244
大豆,Singapore,2002/03,consumption,0.018
大豆,Switzerland,2002/03,consumption,0.048
大豆,Syria,2002/03,consumption,0.098
大豆,Trinidad and Tobago,2002/03,consumption,0.08
大豆,Uganda,2002/03,consumption,0.165
大豆,United Arab Emirates,2002/03,consumption,0.159
大豆,Uzbekistan,2002/03,consumption,0.07
大豆,Zambia,2002/03,consumption,0.003
大豆,Zimbabwe,2002/03,consumption,0.036
大豆,阿根廷,2002/03,exports,8.624
大豆,埃及,2002/03,exports,0
大豆,巴基斯坦,2002/03,exports,0
大豆,巴拉圭,2002/03,exports,3.005
大豆,巴西,2002/03,exports,19.629
大豆,玻利维亚,2002/03,exports,0.13
大豆,俄罗斯,2002/03,exports,0.001
大豆,菲律宾,2002/03,exports,0
大豆,哥伦比亚,2002/03,exports,0.002
大豆,韩国,2002/03,exports,0
大豆,加拿大,2002/03,exports,0.726
大豆,马来西亚,2002/03,exports,0.023
大豆,美国,2002/03,exports,28.423
大豆,孟加拉国,2002/03,exports,0
大豆,秘鲁,2002/03,exports,0
大豆,摩洛哥,2002/03,exports,0
大豆,墨西哥,2002/03,exports,0.001
大豆,南非,2002/03,exports,0.004
大豆,欧盟,2002/03,exports,0.024
大豆,日本,2002/03,exports,0
大豆,泰国,2002/03,exports,0.001
大豆,土耳其,2002/03,exports,0
大豆,委内瑞拉,2002/03,exports,0
大豆,乌克兰,2002/03,exports,0.007
大豆,乌拉圭,2002/03,exports,0.18
大豆,伊朗,2002/03,exports,0
大豆,印度,2002/03,exports,0.005
大豆,印度尼西亚,2002/03,exports,0
大豆,越南,2002/03,exports,0.005
大豆,智利,2002/03,exports,0.001
大豆,中国,2002/03,exports,0.265
大豆,中国台湾,2002/03,exports,0
大豆,Australia,2002/03,exports,0.008
大豆,Barbados,2002/03,exports,0
大豆,Bosnia and Herzegovina,2002/03,exports,0
大豆,Burma,2002/03,exports,0
大豆,Costa Rica,2002/03,exports,0
大豆,Cuba,2002/03,exports,0
大豆,Ecuador,2002/03,exports,0.067
大豆,Guatemala,2002/03,exports,0.003
大豆,Israel,2002/03,exports,0
大豆,"Korea, North",2002/03,exports,0
大豆,Nicaragua,2002/03,exports,0
